,拉特兰,第2幕,,,,,
,名称,name,选项,效果,备注,,
1,主机合影,Photo with the Lord,1,在每场战斗开始时，获得2层人工制品,,,
2,入境许可,Entry Permit,1,你的所有初始牌获得附魔：升华,升华：获得天使,,
3,研学证明,Study Tour Certificate,1,在休息处锻造时，可以额外升级1张卡牌，并随机升级1张卡牌,,,
4,无人主机,Lord Drone,2,在每个回合开始时获得1E。所有敌人初始获得1层人工制品,,,
5,喷漆罐,Spray Can,2,在每场战斗开始时，将1张涂鸦加入你的手牌,涂鸦：0c。保留。选择你的1张手牌，将该牌的1（2）张天使复制品放入你的手牌。消耗,,
6,仙人掌挞,Cactus Tart,2,在每场战斗开始时，在手牌中加入一张随机牌，这张牌在本场战斗中获得天使,,,
7,炫彩光翼,Prismatic Wings,2,前3个回合，你获得翱翔和虚弱,,,
8,CONFESS-47,CONFESS-47,3,花费1金币，给予你2E，击晕随机敌人。然后此遗物会休眠4回合,一个随从，与“佩尔的士兵”类似，只在玩家没有事件宠物异鸟宝宝或任务牌多尼斯异鸟蛋时出现。,,
9,万国信标,Beacon of Nations,3,标记随机一条路线上的所有战斗。这些战斗会额外掉落一组可以包含其他颜色的稀有卡牌奖励,,,
10,律法,The Law,3,删除卡组中的所有诅咒（包括永恒诅咒），抵消你下 3 次获得的诅咒。,图标是萨卡兹肉鸽藏品“光环”,,
,,,,,,,
,大帝,第3幕,,,,,
,名称,name,选项,效果,备注,,
1,企鹅物流工牌,Penguin Logistics ID,1,在每个回合开始时获得1E。在每场战斗开始时，使随机一个未失效遗物获得：快递1,,,
2,一些陈酿,A Few Fine Vintages,1,获得2个药水栏位。在每场战斗开始时，随机获得一瓶乌萨斯白鲸，高卢干白或大炎汾酒。,"乌萨斯白鲸（Ursus Beluga）：进入过载，攻击变为随机目标。
高卢霞多丽（Gaul Chardonnay）：丢弃任意张手牌，抽牌直到抽满你的手牌，本回合不能再抽牌。
大炎汾酒（Yan Fenjiu）：变化任意张手牌。",这些“酒”是药水，应像“药水形状的石头”一样，不能通过其他方式获得。,
3,黑卡,Black Card,1,商店物品价格-75%,跟其他效果乘算,,
4,母带,Master Tape,1,获得来自其他角色的稀有卡牌奖励各一组,,,
5,不义之财,Ill-Gotten Gains,2,获得3个中转5随机遗物。在战斗结束时，如果你没有受到伤害，所有中转遗物不会减少中转层数,,,
6,公司的面包车,Company Van,2,你有2次机会移动到同一层的任意其他房间。,,,
7,退回的包裹,Return to Sender,2,失去所有非初始非中转遗物，然后获得等量遗物,,,
8,打碟机,DJ Deck,3,在每场战斗中，奇数回合获得强拍，偶数回合获得弱拍。,"强拍：本回合造成的伤害随机提升25%, 50%, 75%。
弱拍：本回合受到的伤害随机减少0%, 25%, 50%","在除4余1的回合容易获得75%的增伤，在除4余3的回合更容易50%的增伤
25%的增伤和0%的减伤出现权重应始终低一些",
9,珍藏的唱片,Prized Record,3,所有敌人最大生命值减少20%,,,
10,老板的名片,Boss's Business Card,3,拾起时，将一张大帝+加入你的牌组,,,
