序号,卡牌名称,card name,类型,颜色,稀有度,费用,卡牌描述,备注,,,,,,,,,,,,,,,,,
0,冲锋模式,Charging Mode,攻击,红色,初始,1,造成3（4）点伤害3次,,,,,,,,,,,,,,,,,,
0,子弹上膛,Locked and loaded,技能,红色,初始,1,获得3（5）弹药,弹药：打出攻击牌时消耗1弹药，为该次攻击增加2伤害,,,,,,,,,,,,,,,,,
1,天意！,Divine judgment!,攻击,红色,普通,0,随机对1名敌人造成7（10）点伤害。获得1弹药,,,,,,,,,,,,,,,,,,
2,穿透打击,Piercing Strike,攻击,红色,普通,1,造成9（12）点伤害。若本次攻击消耗弹药，则同时对所有敌人造成伤害,,,,,,,,,,,,,,,,,,
3,穿甲弹,Armor-Piercing Round,攻击,红色,普通,1,造成8（10）点伤害。若本次攻击消耗弹药，则给予2（3）层易伤,,,,,,,,,,,,,,,,,,
4,精准打击,Precision Strike,攻击,红色,普通,1,造成7（9）点伤害。若本次攻击消耗弹药，则给予1（2）层虚弱,,,,,,,,,,,,,,,,,,
5,武装护送,Armed Escort,攻击,红色,普通,1,造成7（8）点伤害。为一张手牌添加快递3（2）,快递：获得保留和消耗。回合结束时若此牌在你的手牌中，则快递层数减1。层数减为0时会自动打出,,,,,,,,,,,,,,,,,
6,延时爆炸,Delayed Blast,攻击,红色,普通,1,对所有敌人造成8（11）点伤害。下个回合对所有敌人造成8（11）点伤害,,,,,,,,,,,,,,,,,,
7,射击技巧,Marksmanship,攻击,红色,普通,1,造成9（10）点伤害。下个回合获得2（3）弹药,,,,,,,,,,,,,,,,,,
8,拉特兰欢迎你,Welcome to Laterano,攻击,红色,普通,2,对所有敌人造成5点伤害3(4)次,（卡牌动画是扔炸弹）,,,,,,,,,,,,,,,,,
9,虔心十字,Cross of Devotion,攻击,红色,普通,3,造成11（15）点伤害2次。将一张圣城净化加入你的手牌,圣城净化详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
10,暴力运输,Violent Delivery,攻击,红色,普通,3,保留。造成25点伤害。将一张（全部）拥有快递的手牌层数减少1,,,,,,,,,,,,,,,,,,
11,免费派送,Free Delivery,技能,红色,普通,0,（保留。）消耗。为一张手牌添加快递3,,,,,,,,,,,,,,,,,,
12,快逃！,Run!,技能,红色,普通,0,获得6（9）点格挡。在弃牌堆加入一张笨拙,,,,,,,,,,,,,,,,,,
13,“主”的庇佑,The Lord's Protection,技能,红色,普通,1,获得8（11）点格挡。获得2弹药。,,,,,,,,,,,,,,,,,,
14,并联弹匣,Jungle Style,技能,红色,普通,1,获得3（4）弹药。下回合获得3（4）弹药,,,,,,,,,,,,,,,,,,
15,德克萨斯！,Texas!,技能,红色,普通,1,获得6（9）点格挡。将一张德克萨斯加入你的手牌,德克萨斯详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
16,快速弹匣,Quick Mag,技能,红色,普通,1,获得2（3）弹药。抽2张牌,,,,,,,,,,,,,,,,,,
17,回望来路,Looking Back,技能,红色,普通,1,获得2（3）弹药。将弃牌堆中的一张牌加入你的手牌。消耗（升级后去除）,,,,,,,,,,,,,,,,,,
18,临时改装,Field Modification,技能,红色,普通,1,获得8（10）点格挡。在本回合获得2(3)火力,,,,,,,,,,,,,,,,,,
19,准备万全！,Ready for Action!,技能,红色,普通,2,获得11（13）点格挡。下回合额外获得1E并抽1（2）张牌,,,,,,,,,,,,,,,,,,
20,苹果派！,Apple Pie!,技能,红色,普通,3,获得4（5）E，消耗,,,,,,,,,,,,,,,,,,
21,行动开始！,Move Out!,攻击,红色,罕见,0,固有。造成5（7）点伤害两次。消耗,,,,,,,,,,,,,,,,,,
22,高速追击,Hot Pursuit,攻击,红色,罕见,1,造成6（9）点伤害。若本次攻击消耗弹药，则获得1能量并抽1张牌,,,,,,,,,,,,,,,,,,
23,增压弹！,Boosted Round!,攻击,红色,罕见,1,造成9（10）点伤害。若本次攻击消耗弹药，则在本回合给予10（20）层缓慢,,,,,,,,,,,,,,,,,,
24,愿主指引,May the Lord Guide Us,攻击,红色,罕见,1,造成6（9）点伤害。在你的手牌中加入一张圣城指引,圣城指引详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
25,双发套件,Double-Shot Kit,攻击,红色,罕见,1,造成4（6）点伤害2次，本回合弹药增伤效果+100%,,,,,,,,,,,,,,,,,,
26,火力掩护,Covering Fire,攻击,红色,罕见,1,对所有敌人造成1点伤害3次，最多消耗3弹药，每消耗1弹药使所有敌人本回合减少2（3）力量,,,,,,,,,,,,,,,,,,
27,天空大扫除,Sweeping the Skies,攻击,红色,罕见,2,随机对敌人造成2（3）点伤害8次,,,,,,,,,,,,,,,,,,
