序号,卡牌名称,card name,类型,颜色,稀有度,费用,卡牌描述,备注,,,,,,,,,,,,,,,,,
0,冲锋模式,Charging Mode,攻击,红色,初始,1,造成3（4）点伤害3次,,,,,,,,,,,,,,,,,,
0,子弹上膛,Locked and loaded,技能,红色,初始,1,获得4（6）弹药,弹药：攻击牌每段攻击消耗1弹药；打出时每拥有5弹药，消耗弹药会为该攻击增加1点伤害（但至少增加2）；弹药上限30，达到上限时进入过载,过载：攻击伤害最终提升至150%，过载期间不再获得或扣除弹药。回合结束时，失去所有弹药并退出过载。,,,,,,,,,,,,,,,,
1,天意！,Divine judgment!,攻击,红色,普通,0,对随机敌人造成8（11）点伤害。,天使：获得保留。每次获得天使后首次打出时免费（不受其他效果影响）。诅咒牌获得天使后立即消耗。,,,,,,,,,,,,,,,,,
2,★,★,攻击,红色,普通,1,造成8点伤害。若本次攻击消耗弹药，升级你手牌中的一张（所有）牌,,,,,,,,,,,,,,,,,,
3,穿甲弹,Armor-Piercing Round,攻击,红色,普通,1,使敌人失去所有格挡。造成6（7）点伤害。给予1（2）层易伤,,,,,,,,,,,,,,,,,,
4,精准打击,Precision Strike,攻击,红色,普通,1,造成7（9）点伤害。若本次攻击消耗弹药，则给予1（2）层虚弱,,,,,,,,,,,,,,,,,,
5,武装护送,Armed Escort,攻击,红色,普通,1,造成8（12）点伤害。获得中转1开心小花。,,,,,,,,,,,,,,,,,,
6,摇滚！,Rock n' roll!,攻击,红色,普通,1,造成8（10）点伤害。给予1（2）层干扰。消耗,干扰：每拥有1层干扰，造成的伤害降低5%，最多降低50%；首次获得干扰时，及每额外获得5层干扰后，获得沉默。,沉默：1回合内，被动能力失效,,,,,,,,,,,,,,,,
7,射击技巧,Marksmanship,攻击,红色,普通,1,造成7（10）点伤害。若本次攻击消耗弹药，对随机敌人额外造成一次等量的伤害。,额外伤害不消耗弹药,,,,,,,,,,,,,,,,,
8,拉特兰欢迎你,Welcome to Laterano,攻击,红色,普通,2,对所有敌人造成5点伤害3(4)次,,,,,,,,,,,,,,,,,,
9,虔心十字,Cross of Devotion,攻击,红色,普通,2,造成6（9）点伤害2次。为一张手牌添加天使,,,,,,,,,,,,,,,,,,
10,暴力运输,Violent Delivery,攻击,红色,普通,3,保留。使随机一个遗物获得快递2。造成40（52）点伤害。,快递：使遗物暂时失效，在X场战斗后恢复。,不可选择初始遗物和已失效遗物,,,,,,,,,,,,,,,,
11,免费派送,Free Delivery,技能,红色,普通,0,抽1张牌。获得中转1(2)神秘遗物。消耗,神秘遗物：每局游戏根据种子随机的一个特定遗物，第一次使用此牌后揭晓。,揭晓此遗物后，描述中的“随机遗物”需替换为该遗物的名称，描述hoverup中添加该遗物的描述。,,,,,,,,,,,,,,,,
12,快逃！,Run!,技能,红色,普通,0,获得6（9）点格挡。在弃牌堆加入一张笨拙,,,,,,,,,,,,,,,,,,
13,“主”的庇佑,The Lord's Protection,技能,红色,普通,1,获得9（12）点格挡。获得中转1蚀刻子弹。,中转：中转X的遗物将在X场战斗后失效（包括本场战斗），失效后可以重新中转,被快递的中转遗物获得中转时，改为减少其快递层数。,,,,,,,,,,,,,,,,
14,并联弹匣,Jungle Style,技能,红色,普通,1,获得4（5）弹药。下回合获得4（5）弹药,,,,,,,,,,,,,,,,,,
15,德克萨斯！,Texas!,技能,红色,普通,1,获得5（8）点格挡。将一张德克萨斯加入你的手牌,德克萨斯详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
16,快速弹匣,Quick Mag,技能,红色,普通,1,获得2（4）弹药。抽2张牌,,,,,,,,,,,,,,,,,,
17,回望来路,Looking Back,技能,红色,普通,1,获得2（3）弹药。将弃牌堆中的一张牌加入你的手牌。消耗（升级后去除）,,,,,,,,,,,,,,,,,,
18,临时改装,Field Modification,技能,红色,普通,1,获得8（10）点格挡。在本回合获得2(3)火力,火力：弹药额外增加X点伤害,,,,,,,,,,,,,,,,,
19,准备万全！,Ready for Action!,技能,红色,普通,2,获得11（13）点格挡。下回合额外获得1E并抽1（2）张牌,,,,,,,,,,,,,,,,,,
20,苹果派！,Apple Pie!,技能,红色,普通,3,获得4（5）E，消耗,,,,,,,,,,,,,,,,,,
21,行动开始！,Move Out!,攻击,红色,罕见,0,固有。造成5（9）点伤害。获得中转1船夹板。消耗,,,,,,,,,,,,,,,,,,
22,高速追击,Hot Pursuit,攻击,红色,罕见,1,造成5（8）点伤害。若本次攻击消耗弹药，则获得1能量并抽1张牌,,,,,,,,,,,,,,,,,,
23,圣城威光,Holy City Radiance,攻击,红色,罕见,1,天使。你每有一张天使牌，此牌造成7（10）点伤害1次。,,,,,,,,,,,,,,,,,,
24,愿主指引,May the Lord Guide Us,攻击,红色,罕见,2,造成11（15）点伤害。在你的手牌中加入一张圣城指引（+）,圣城指引详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
25,干扰打击,Disruptive Strike,攻击,红色,罕见,2,造成10（14）点伤害。敌人每有1层干扰，这张牌就额外攻击一次。,,,,,,,,,,,,,,,,,,
26,天空大扫除,Sweeping the Skies,攻击,红色,罕见,2,随机对敌人造成2（3）点伤害8次,,,,,,,,,,,,,,,,,,
27,改装不当,Botched Modification,攻击,红色,罕见,2,对所有敌人造成9（12）点伤害2次。在手牌中加入一张悔恨,,,,,,,,,,,,,,,,,,
28,前路何在？,What Lies Ahead?,攻击,红色,罕见,2,造成8（10）点伤害3次。在手牌中加入一张茫然,茫然详情见诅咒牌,,,,,,,,,,,,,,,,,
29,勿忘我,Forget-Me-Not,攻击,红色,罕见,3,（耗能-1）保留。造成1点伤害，消耗所有弹药，获得3倍消耗的弹药，消耗,,,,,,,,,,,,,,,,,,
30,以铳起誓,Swear on This Gun,攻击,红色,罕见,3,天使。造成20（25）点伤害。在你的手牌中加入1张圣城净化（+）。,圣城净化详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
31,扫射模式,Shooting Mode,攻击,红色,罕见,4,造成10（14）点伤害4次,,,,,,,,,,,,,,,,,,
32,混乱狂飙,Chaotic Rampage,技能,红色,罕见,0,抽2（3）张牌。在弃牌堆中加入一张歧途。,,,,,,,,,,,,,,,,,,
33,企鹅中转站,Penguin Transit Hub,技能,红色,罕见,0,消耗8（4）金币。成功消耗时，获得中转1随机遗物。,中转随机遗物只能获得本角色可在宝箱中获得的遗物，优先中转未被中转过的遗物,,,,,,,,,,,,,,,,,
34,喧闹,Brawl,技能,红色,罕见,1,给予1（2）层干扰，敌人身上每有2层干扰，给予1层干扰。,,,,,,,,,,,,,,,,,,
35,企鹅特快,Penguin Express,技能,红色,罕见,1,（保留。）选择一个遗物获得快递4。抽牌直到抽满手牌。,,,,,,,,,,,,,,,,,,
36,企鹅标快,Penguin Standard,技能,红色,罕见,1,选择1个遗物获得快递5。获得2个中转1(2)随机遗物,,,,,,,,,,,,,,,,,,
37,企鹅跨境,Penguin International,技能,红色,罕见,1,选择一个遗物获得快递4。使1(2)个中转遗物获得中转3。,,,,,,,,,,,,,,,,,,
38,福音摇滚！,Rock n' gospel!,技能,红色,罕见,1,给予所有敌人2（3）层虚弱和1（2）层干扰，消耗,,,,,,,,,,,,,,,,,,
39,大合照！,Group Photo!,技能,红色,罕见,1,将一张随机（升级后的）物流卡加入你的手牌，消耗,物流卡作为关键词，添加解释,,,,,,,,,,,,,,,,,
40,坚定之心,Steadfast Heart,技能,红色,罕见,1,获得15（20）点格挡。在你的手牌中加入2张受伤。,,,,,,,,,,,,,,,,,,
41,铳弹协约,Covenant of Bullets,技能,红色,罕见,1,使弃牌堆中1张牌获得天使并加入手牌。结束你的回合。下回合开始时，获得等于你手牌数（+2）的弹药。,,,,,,,,,,,,,,,,,,
42,虔诚,Piety,技能,红色,罕见,1,使抽牌堆中的一张牌获得天使。抽2（3）张牌,,,,,,,,,,,,,,,,,,
43,包裹,Package,技能,红色,罕见,2,获得中转2（3）苹果派物流。消耗。,,,,,,,,,,,,,,,,,,
44,企鹅大件,Penguin Freight,技能,红色,罕见,2,选择1个遗物获得快递99。获得60（75）点防御。你的下一回合开始时格挡不会消失。,,,,,,,,,,,,,,,,,,
45,叉烧苹果派！,Apple pie with char siu!,技能,红色,罕见,2,天使。获得3（5）点能量。在本回合随机化你手牌中所有牌的耗能。,,,,,,,,,,,,,,,,,,
46,圣城之拥,Holy City Embrace,技能,红色,罕见,2,天使。每拥有1张天使牌，此牌使你获得6（9）点格挡1次。,,,,,,,,,,,,,,,,,,
47,天使之心,Angel's Heart,技能,红色,罕见,3,在你的手牌加入圣城指引（+），圣城净化（+）和圣城冰淇淋（+）各一张。,,,,,,,,,,,,,,,,,,
48,压满弹匣！,Load 'Em Up!,技能,红色,罕见,X,获得4弹药X（+1）次,,,,,,,,,,,,,,,,,,
49,后勤保障,Logistics Support,能力,红色,罕见,1,每消耗4（3）弹药，抽1张牌,,,,,,,,,,,,,,,,,,
50,易燃易爆,Flammable & Explosive,能力,红色,罕见,1,过载时攻击的伤害额外提升50%（75%）,,,,,,,,,,,,,,,,,,
51,显圣吊坠,Necklace of the Presence,能力,红色,罕见,1,获得3（4）火力。,,,,,,,,,,,,,,,,,,
52,天赋,Talent,能力,红色,罕见,1,（给予所有敌人1层干扰。）敌人每有一层干扰，受到的伤害提升10%,,,,,,,,,,,,,,,,,,
53,告解,Confession,能力,红色,罕见,1,（耗能-1）每当你抽到或消耗1张诅咒或天使牌时，额外抽1张牌,,,,,,,,,,,,,,,,,,
54,“主”的宽恕,The Lord's Forgiveness,能力,红色,罕见,1,回合结束时每保留1张天使牌，获得3（4）点格挡,,,,,,,,,,,,,,,,,,
55,祝福,Blessing,能力,红色,罕见,2,（耗能-1）在你的回合开始时，将1张随机天使牌加入你的手牌,,,,,,,,,,,,,,,,,,
56,正宗天意！,"Divine judgment, traditional!",攻击,红色,稀有,0,只有在你的手牌为满时可以打出。造成8（10）点伤害5次。,,,,,,,,,,,,,,,,,,
57,火力掩护,Covering Fire,攻击,红色,稀有,1,对所有敌人造成1点伤害3次。每消耗1弹药使所有敌人本回合减少3（4）力量,,,,,,,,,,,,,,,,,,
58,光翼打击,Radiant Wing Strike,攻击,红色,稀有,1,造成1点伤害5次。若消耗了5发弹药，本回合获得翱翔。消耗（升级后去除）,,,,,,,,,,,,,,,,,,
