序号,卡牌名称,card name,类型,颜色,稀有度,费用,卡牌描述,备注,,,,,,,,,,,,,,,,,
0,冲锋模式,Charging Mode,攻击,红色,初始,1,造成3（4）点伤害3次,,,,,,,,,,,,,,,,,,
0,子弹上膛,Locked and loaded,技能,红色,初始,1,获得4（6）弹药,弹药：打出攻击牌时，每段攻击消耗1弹药1次；每拥有5弹药，消耗弹药时为该攻击增加1点伤害（至少增加2）；弹药上限为30，当弹药达到上限时，进入过载,过载：攻击伤害最终提升至150%，过载期间不再能获得弹药。你的回合结束时，失去所有弹药并退出过载。,,,,,,,,,,,,,,,,
1,天意！,Divine judgment!,攻击,红色,普通,0,随机造成7（10）点伤害。获得1弹药。,天使：获得保留。获得天使后首次打出时免费（不受其他效果影响）。状态或诅咒牌获得天使后立即消耗。,,,,,,,,,,,,,,,,,
2,★,★,攻击,红色,普通,1,造成7点伤害。若本次攻击消耗弹药，升级你手牌中的1张（所有）牌,,,,,,,,,,,,,,,,,,
3,穿甲弹,Armor-Piercing Round,攻击,红色,普通,1,使敌人失去所有格挡。造成6（7）点伤害。给予1（2）层易伤,,,,,,,,,,,,,,,,,,
4,精准打击,Precision Strike,攻击,红色,普通,1,造成7（9）点伤害。若本次攻击消耗弹药，则给予1（2）层虚弱,,,,,,,,,,,,,,,,,,
5,武装护送,Armed Escort,攻击,红色,普通,1,造成9（12）点伤害。获得中转1开心小花。,快递：被给予快递X的遗物会暂时失效，在X场战斗后重新生效（无法选中初始遗物和已失效的遗物）。给予快递的卡牌需要成功快递遗物才能生效后续效果。,,,,,,,,,,,,,,,,,
6,摇滚！,Rock n' roll!,攻击,红色,普通,1,造成8（11）点伤害。如果目标没有干扰，给予1层干扰,干扰：每拥有1层干扰，造成的伤害降低10%，最多降低50%；获得干扰时及每额外获得5层干扰后，获得沉默。,沉默：特殊效果失效1回合，不可叠加。回合结束时重置,,,,,,,,,,,,,,,,
7,射击技巧,Marksmanship,攻击,红色,普通,1,造成9（11）点伤害。获得3（4）弹药,,,,,,,,,,,,,,,,,,
8,拉特兰欢迎你,Welcome to Laterano,攻击,红色,普通,2,对所有敌人造成5点伤害3(4)次,（卡牌动画是扔炸弹）,,,,,,,,,,,,,,,,,
9,虔心十字,Cross of Devotion,攻击,红色,普通,2,造成9（12）点伤害2次。为一张手牌添加天使,,,,,,,,,,,,,,,,,,
10,暴力运输,Violent Delivery,攻击,红色,普通,3,保留。使随机一个遗物获得快递2。造成45（54）点伤害。,,,,,,,,,,,,,,,,,,
11,免费派送,Free Delivery,技能,红色,普通,0,虚无。使随机1个遗物获得快递1。你的下1（2）张牌可以免费打出。,,,,,,,,,,,,,,,,,,
12,快逃！,Run!,技能,红色,普通,0,获得6（9）点格挡。在弃牌堆加入一张笨拙,,,,,,,,,,,,,,,,,,
13,“主”的庇佑,The Lord's Protection,技能,红色,普通,1,获得8（11）点格挡。获得中转1蚀刻子弹。,中转：中转X的遗物将在X场战斗后失效（包括本场战斗）失效后可以重新中转,首次获得中转遗物或其中转层数由0变为1时立刻触发一次其“战斗开始时”的效果（如果有）,,,,,,,,,,,,,,,,
14,并联弹匣,Jungle Style,技能,红色,普通,1,获得4（5）弹药。下回合获得4（5）弹药,,,,,,,,,,,,,,,,,,
15,德克萨斯！,Texas!,技能,红色,普通,1,获得5（8）点格挡。将一张德克萨斯加入你的手牌,德克萨斯详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
16,快速弹匣,Quick Mag,技能,红色,普通,1,获得2（3）弹药。抽2张牌,,,,,,,,,,,,,,,,,,
17,回望来路,Looking Back,技能,红色,普通,1,获得2（3）弹药。将弃牌堆中的一张牌加入你的手牌。消耗（升级后去除）,,,,,,,,,,,,,,,,,,
18,临时改装,Field Modification,技能,红色,普通,1,获得8（10）点格挡。在本回合获得2(3)火力,火力：弹药额外增加X点伤害,,,,,,,,,,,,,,,,,
19,准备万全！,Ready for Action!,技能,红色,普通,2,获得11（13）点格挡。下回合额外获得1E并抽1（2）张牌,,,,,,,,,,,,,,,,,,
20,苹果派！,Apple Pie!,技能,红色,普通,3,获得4（5）E，消耗,,,,,,,,,,,,,,,,,,
21,行动开始！,Move Out!,攻击,红色,罕见,0,固有。造成4（7）点伤害。获得中转1船夹板。消耗,,,,,,,,,,,,,,,,,,
22,高速追击,Hot Pursuit,攻击,红色,罕见,1,造成5（8）点伤害。若本次攻击消耗弹药，则获得1能量并抽1张牌,,,,,,,,,,,,,,,,,,
23,圣城威光,Holy City Radiance,攻击,红色,罕见,1,天使。你每有一张天使牌，此牌造成8（11）点伤害1次。,消耗堆也算,,,,,,,,,,,,,,,,,
24,愿主指引,May the Lord Guide Us,攻击,红色,罕见,2,造成11（14）点伤害。在你的手牌中加入一张圣城指引（+）,圣城指引详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
25,干扰打击,Disruptive Strike,攻击,红色,罕见,2,造成12（16）点伤害。敌人每有1层干扰，这张牌就额外攻击一次。,,,,,,,,,,,,,,,,,,
26,天空大扫除,Sweeping the Skies,攻击,红色,罕见,2,随机对敌人造成2（3）点伤害8次,,,,,,,,,,,,,,,,,,
27,改装不当,Botched Modification,攻击,红色,罕见,2,对所有敌人造成12（14）点伤害2次。在弃牌堆中加入一张笨拙,,,,,,,,,,,,,,,,,,
28,前路何在？,What Lies Ahead?,攻击,红色,罕见,2,造成12点伤害3（4）次。在你的手牌中加入一张疑虑,,,,,,,,,,,,,,,,,,
29,勿忘我,Forget-Me-Not,攻击,红色,罕见,3,（耗能-1）保留。造成1点伤害，消耗所有弹药，获得3倍消耗的弹药，消耗,,,,,,,,,,,,,,,,,,
30,以铳起誓,Swear on This Gun,攻击,红色,罕见,3,天使。造成30（35）点伤害。在你的手牌中加入1张圣城净化（+）。,圣城净化详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
31,扫射模式,Shooting Mode,攻击,红色,罕见,4,造成13（16）点伤害4次,,,,,,,,,,,,,,,,,,
32,混乱狂飙,Chaotic Rampage,技能,红色,罕见,0,抽3（4）张牌。在你的手牌中加入一张孢子心灵,,,,,,,,,,,,,,,,,,
33,喧闹,Brawl,技能,红色,罕见,0,敌人每有3（2）层干扰，给予1层干扰。,,,,,,,,,,,,,,,,,,
34,企鹅中转站,Penguin Transit Hub,技能,红色,罕见,0,消耗8（4）金币。成功消耗时，获得中转1随机遗物。,中转随机遗物只能获得本角色可在宝箱中获得的遗物，优先中转未被中转过的遗物,,,,,,,,,,,,,,,,,
35,企鹅特快,Penguin Express,技能,红色,罕见,1,（保留。）选择一个遗物获得快递4。抽牌直到抽满手牌。,,,,,,,,,,,,,,,,,,
36,企鹅标快,Penguin Standard,技能,红色,罕见,1,选择1个遗物获得快递7。获得2个中转1随机遗物,,,,,,,,,,,,,,,,,,
37,企鹅跨境,Penguin International,技能,红色,罕见,1,选择一个遗物获得快递5。使一个中转遗物获得中转3（4）。,,,,,,,,,,,,,,,,,,
38,闪光弹,Flashbang,技能,红色,罕见,1,给予所有敌人2（3）层虚弱和1层干扰，消耗,,,,,,,,,,,,,,,,,,
39,大合照！,Group Photo!,技能,红色,罕见,1,将一张随机（升级后的）物流卡加入你的手牌，消耗,,,,,,,,,,,,,,,,,,
40,坚定之心,Steadfast Heart,技能,红色,罕见,1,获得15（20）点格挡。在你的弃牌堆中加入2张受伤。,,,,,,,,,,,,,,,,,,
41,圣城怜悯,Holy City Mercy,技能,红色,罕见,2,获得11（15）点格挡。为所有手牌添加天使,,,,,,,,,,,,,,,,,,
42,包裹,Package,技能,红色,罕见,2,获得中转2（3）苹果派物流。消耗。,,,,,,,,,,,,,,,,,,
43,企鹅大件,Penguin Freight,技能,红色,罕见,2,选择1个遗物获得快递99。获得60（75）点防御。你的下一回合开始时格挡不会消失。,,,,,,,,,,,,,,,,,,
44,叉烧苹果派！,Apple pie with char siu!,技能,红色,罕见,2,天使。获得3（5）点能量。在本回合随机化你手牌中所有牌的耗能。,,,,,,,,,,,,,,,,,,
45,圣城之拥,Holy City Embrace,技能,红色,罕见,3,天使。每拥有1张天使牌，此牌使你获得5（8）点格挡1次。,,,,,,,,,,,,,,,,,,
46,天使之心,Angel's Heart,技能,红色,罕见,3,在你的手牌加入圣城指引（+），圣城净化（+）和圣城冰淇淋（+）各一张。,,,,,,,,,,,,,,,,,,
47,压满弹匣！,Load 'Em Up!,技能,红色,罕见,X,获得4弹药X（+1）次,,,,,,,,,,,,,,,,,,
48,铳弹协约,Covenant of Bullets,能力,红色,罕见,1,获得3（4）火力。,,,,,,,,,,,,,,,,,,
49,后勤保障,Logistics Support,能力,红色,罕见,1,在回合开始时获得2（3）弹药,,,,,,,,,,,,,,,,,,
50,易燃易爆,Flammable & Explosive,能力,红色,罕见,1,过载时攻击的伤害额外提升50%（75%）,,,,,,,,,,,,,,,,,,
51,福音摇滚！,Rock n' gospel!,能力,红色,罕见,1,在回合开始时，给1（2）张手牌添加天使。,已经有天使的牌重新添加天使,,,,,,,,,,,,,,,,,
52,显圣吊坠,Necklace of the Presence,能力,红色,罕见,1,你每消耗1弹药，获得2（3）格挡,,,,,,,,,,,,,,,,,,
53,天赋,Talent,能力,红色,罕见,1,敌人每有一层干扰，受到的伤害提升15%（25%）,,,,,,,,,,,,,,,,,,
54,告解,Confession,能力,红色,罕见,1,（耗能-1）每当你抽到或消耗1张诅咒或天使牌时，额外抽1张牌,,,,,,,,,,,,,,,,,,
55,天使的祝福,Angel's Blessings,能力,红色,罕见,2,（耗能-1）在你的回合开始时，将1张随机天使牌加入你的手牌,,,,,,,,,,,,,,,,,,
56,正宗天意！,"Divine judgment, traditional!",攻击,红色,稀有,0,只有在你的手牌为满时可以打出。造成8（10）点伤害5次。,,,,,,,,,,,,,,,,,,
57,火力掩护,Covering Fire,攻击,红色,稀有,1,对所有敌人造成1点伤害3次。每消耗1弹药使所有敌人本回合减少3（4）力量,,,,,,,,,,,,,,,,,,
58,激光炮？,Laser Cannon?,攻击,红色,稀有,2,对所有敌人造成20（28）点伤害，本次攻击可以消耗所有弹药。,,,,,,,,,,,,,,,,,,
59,派对时间！,Party Time!,攻击,红色,稀有,3,造成3点伤害25次。在你的手牌中加入一张睡眠不佳,,,,,,,,,,,,,,,,,,
60,使命必达！,Guaranteed Success!,攻击,红色,稀有,3,（耗能-1）造成5点伤害5次。选择1个快递遗物立即重新生效。消耗,,,,,,,,,,,,,,,,,,
61,甜品时间！,Dessert Time!,技能,红色,稀有,0,在你的手牌中加入2（3）张圣城冰淇淋。消耗,圣城冰淇淋详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
62,失乐园,Paradise Lost,技能,红色,稀有,0,获得2（3）点能量。抽2（3）张牌。在弃牌堆中加入一张腐朽。消耗,,,,,,,,,,,,,,,,,,
63,瞄准弱点！,Target the Weak Spot!,技能,红色,稀有,0,如果一名敌人有干扰，获得2（3）火力,不然的话改成主宰,,,,,,,,,,,,,,,,,
64,加急！,Expedite!,技能,红色,稀有,1,所有快递遗物的快递层数减少1（2）。消耗,,,,,,,,,,,,,,,,,,
65,爆弹,Explosive Ammo,技能,红色,稀有,1,获得4弹药。下次攻击若消耗弹药，则对所有敌人额外造成一次50%的伤害。消耗（升级后去除）,,,,,,,,,,,,,,,,,,
66,过载模式,Overloading Mode,技能,红色,稀有,1,虚无（升级后去除）。进入过载。回合结束时，保留剩余弹药。消耗,,,,,,,,,,,,,,,,,,
67,优秀毕业生,Outstanding Graduate,技能,红色,稀有,1,使所有敌人的干扰层数翻倍（三倍）。消耗,,,,,,,,,,,,,,,,,,
68,开火成瘾症,Shootoholic,技能,红色,稀有,5,从抽牌堆和弃牌堆中随机打出5张攻击牌。消耗至多5弹药，为所有攻击牌提供加成。这些攻击牌在本次攻击中不再消耗弹药。,,,,,,,,,,,,,,,,,,
69,拥抱新生,Embrace New Life,技能,红色,稀有,X,将X（+1）张随机衍生天使牌加入你的抽牌堆。这些天使牌获得附魔：迅捷1,,,,,,,,,,,,,,,,,,
70,借贷,Loan,能力,红色,稀有,0,获得45（60）金币。将一张债务加入你的弃牌堆,,,,,,,,,,,,,,,,,,
71,双发套件,Double-Shot Kit,能力,红色,稀有,2,（耗能-1）获得6弹药，弹药增伤+100%,,,,,,,,,,,,,,,,,,
72,圣城感召,Holy City Calling,能力,红色,稀有,1,（耗能-1）当你打出一张天使牌时，获得1E,,,,,,,,,,,,,,,,,,
73,守护铳, Patron Firearm,能力,红色,稀有,1,每消耗4（3）弹药，抽1张牌,,,,,,,,,,,,,,,,,,
74,“主”的宽恕,The Lord's Forgiveness,能力,红色,稀有,1,（固有）你可以花费1E 打出原本不能被打出的诅咒牌并消耗。,,,,,,,,,,,,,,,,,,
75,愿主同在,May the Lord Be with Us,能力,红色,稀有,1,获得中转1（2）主-主机。,,,,,,,,,,,,,,,,,,
76,物流外包,Logistics Outsourcing,能力,红色,稀有,1,在你的回合开始时，抽1张牌并选择1（2）个快递遗物使其快递层数减少1。,,,,,,,,,,,,,,,,,,
77,帕格尼尼定制,Paganini Custom,能力,红色,稀有,2,弹药增加的伤害提升50%，回合开始时获得2(3)弹药。,,,,,,,,,,,,,,,,,,
78,货如轮转,Cargo in Motion,能力,红色,稀有,3,在本场战斗中，你每快递1个 非中转（升级后去除）遗物，获得1个随机遗物。,,,,,,,,,,,,,,,,,,
79,共感形态,Empathy Form,能力,红色,稀有,3,虚无。（升级后去除）本场战斗中所有卡牌获得天使。天使牌免费打出时额外打出一次。,,,,,,,,,,,,,,,,,,
80,德克萨斯,Texas,攻击,无色,衍生,0,不消耗弹药。对所有敌人造成2点伤害2次并给予1（2）层虚弱。消耗,物流卡,,,,,,,,,,,,,,,,,
81,大帝,Emperor  ,技能,无色,衍生,0,从3张随机(其他全部)物流卡中选择1张加入手牌，消耗,物流卡，不会再出现大帝，权重比其他物流卡低一半,,,,,,,,,,,,,,,,,
82,能天使,Exusiai,技能,无色,衍生,0,获得3（4）弹药，回复2点生命，消耗,物流卡,,,,,,,,,,,,,,,,,
83,可颂,Croissant,技能,无色,衍生,0,获得6（9）点格挡，获得10金币，消耗,物流卡,,,,,,,,,,,,,,,,,
84,空,Sora,技能,无色,衍生,0,获得1点力量，给予所有敌人2（3）层虚弱，消耗,物流卡,,,,,,,,,,,,,,,,,
85,伊斯,Ylth,技能,无色,衍生,0,升级你的手牌（和弃牌堆中的牌），获得5点格挡，消耗,物流卡,,,,,,,,,,,,,,,,,
86,拜松,Bison,技能,无色,衍生,0,获得9（12）点格挡，消耗,物流卡,,,,,,,,,,,,,,,,,
87,莫斯提马,Mostima,技能,无色,衍生,1,（耗能-1）在本回合结束后，额外获得一回合。结束你的回合。消耗,物流卡，权重比其他物流卡低一半,,,,,,,,,,,,,,,,,
88,圣城指引,Holy City Guidance,技能,无色,衍生,0,天使。抽3（4）张牌。消耗,,,,,,,,,,,,,,,,,,
89,圣城净化,Holy City Purge,技能,无色,衍生,0,天使。消耗1（最多2）张手牌。获得3（4）弹药。消耗,,,,,,,,,,,,,,,,,,
90,圣城冰淇淋,Holy City Ice Cream,技能,无色,衍生,0,天使。获得1（2）E。消耗,,,,,,,,,,,,,,,,,,
91,弹幕嗨破天！,Barrage sky-shattering!,攻击,红色,先古,1,造成5点伤害3次。弹药提供的伤害加成提升至3（5）倍,替换冲锋模式,,,,,,,,,,,,,,,,,
92,圣徒行记,The Saints' Travels,能力,红色,先古,2,（耗能-1）获得1火力。这张牌在本局游戏中的火力值永久性增加1。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
