序号,名称,name,稀有度,遗物池,效果,备注,
1,能天使的证章,Exusiai's Badge,初始,能天使,在每场战斗开始时，获得4弹药,,
2,能天使的杰作,Exusiai's Surprise,先古,能天使,在每场战斗开始时，获得8弹药，获得1点火力,,
3,蚀刻子弹,Etched Round,普通,能天使,每场战斗开始时，获得1点火力,,
4,苹果派物流,Apple Pie Logistics,罕见,能天使,每回合你第一次打出攻击牌时，获得等量于其消耗的弹药,,
5,老板奖章,Boss's Medal,罕见,能天使,每回合第一次给予卡牌快递层数时，获得6点格挡,,
6,主-主机,Lord-Server,稀有,能天使,你在战斗中获得诅咒牌时，获得1E,,
7,CONFESS-47,CONFESS-47,稀有,能天使,每场战斗开始时，将2张随机天使牌加入你的手牌,,
8,日光灯,Fluorescent Light,稀有,能天使,每打出一张天使牌，使本回合弹药额外增加1点伤害,,
9,火力电台,Firepower Radio,商店,能天使,弹药增加的伤害提升至2倍，你的回合开始时失去1弹药,,
,,,,,,,
,,,,,,,
序号,名称,name,稀有度,药水池,效果,备注,
1,药水形状的弹匣,POTION SHAPED MAG,普通,能天使,获得6弹药,,
2,大帝的珍藏,Emperor's Stash,罕见,能天使,将2张随机物流卡加入你的手牌,,
3,瓶装光环,Bottled Halo,稀有,能天使,将3张随机天使牌加入你的手牌,,
,,,,,,,
