先古,遗物,表格行,对应状态,相对文件,素材原名,素材性质,尺寸,来源页面,原图地址或生成来源,SHA256,对应说明
拉特兰,主机合影,3,改制参考,01_拉特兰/01_主机合影/拉特兰_PCS主机_剧情背景.png,拉特兰_PCS主机_剧情背景,剧情CG原图,1024x576,https://prts.wiki/w/剧情角色一览#众生行记,https://media.prts.wiki/5/52/Avg_bg_61_g7_pcsserverroom.png,5fbeda66e512082116cc44b80ee4d6aa303e4d84d8782d29d8abf82243ccb25f,主机已核对为拉特兰 PCS 系统主机。CG 本身没有能天使合影；残破合影只作相纸边框参考，后续需合成或重绘。
拉特兰,主机合影,3,改制参考,01_拉特兰/01_主机合影/残破合影_藏品原图.png,残破合影_藏品原图,游戏原素材,174x180,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_a05.png,6484a5f64e4a8f3489b34d43caead4c414c283551e2dcece370f04163433ca65,主机已核对为拉特兰 PCS 系统主机。CG 本身没有能天使合影；残破合影只作相纸边框参考，后续需合成或重绘。
拉特兰,主机合影,3,改制参考,01_拉特兰/01_主机合影/新约能天使_精英二立绘_光翼参考.png,新约能天使_精英二立绘_光翼参考,角色立绘原图,2560x2560,https://prts.wiki/w/文件:立绘_新约能天使_2.png,https://media.prts.wiki/0/07/立绘_新约能天使_2.png,bc999fd3782e82f67ac5cc2b6d00f80a595798045dde9ac2e4fe209a8e4c06c0,主机已核对为拉特兰 PCS 系统主机。CG 本身没有能天使合影；残破合影只作相纸边框参考，后续需合成或重绘。
拉特兰,入境许可,4,改制参考,01_拉特兰/02_入境许可/招聘许可_道具原图.png,招聘许可_道具原图,游戏原素材,183x183,https://prts.wiki/w/招聘许可,https://torappu.prts.wiki/assets/item_icon/TKT_RECRUIT.png,5b4f848f9281f3f2409960b9dfc615c7d0da842abe8e297d2fa7cf3a722730c0,招聘许可提供凭证封套形态参考，不是拉特兰入境证。需移除罗德岛与通用道具标记，替换为拉特兰证件设计。
拉特兰,入境许可,4,改制参考,01_拉特兰/02_入境许可/拉特兰_标志.png,拉特兰_标志,游戏原素材,510x510,https://prts.wiki/w/拉特兰,https://media.prts.wiki/e/e9/Logo_拉特兰.png,69749d237d798e2225753852252c6fcbaf8f7420b994e090fbaee06c19da24f0,招聘许可提供凭证封套形态参考，不是拉特兰入境证。需移除罗德岛与通用道具标记，替换为拉特兰证件设计。
拉特兰,研学证明,5,改制参考,01_拉特兰/03_研学证明/全局作战文件_藏品原图.png,全局作战文件_藏品原图,游戏原素材,157x162,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_r26.png,3ebb4c9f7cec29c0670d706f7a4bc1dac5d44830b874fc2b6d8e09fba3de0ce3,全局作战文件提供文件形态；最佳见习生是吾导先路的公证所主题蚀刻章，不是现成研学证明。
拉特兰,研学证明,5,改制参考,01_拉特兰/03_研学证明/最佳见习生_蚀刻章.png,最佳见习生_蚀刻章,游戏原素材,103x114,https://prts.wiki/w/光荣之路/存档#“最佳见习生”,https://media.prts.wiki/5/5c/蚀刻章_“最佳见习生”.png,f173abd6a44b20ff2486d146861c4d1f4a93f03f8add50ffef7fb555da347ab5,全局作战文件提供文件形态；最佳见习生是吾导先路的公证所主题蚀刻章，不是现成研学证明。
拉特兰,研学证明,5,改制参考,01_拉特兰/03_研学证明/拉特兰_标志.png,拉特兰_标志,游戏原素材,510x510,https://prts.wiki/w/拉特兰,https://media.prts.wiki/e/e9/Logo_拉特兰.png,69749d237d798e2225753852252c6fcbaf8f7420b994e090fbaee06c19da24f0,全局作战文件提供文件形态；最佳见习生是吾导先路的公证所主题蚀刻章，不是现成研学证明。
拉特兰,无人主机,6,改制参考,01_拉特兰/04_无人主机/拉特兰_PCS主机_剧情背景.png,拉特兰_PCS主机_剧情背景,剧情CG原图,1024x576,https://prts.wiki/w/剧情角色一览#众生行记,https://media.prts.wiki/5/52/Avg_bg_61_g7_pcsserverroom.png,5fbeda66e512082116cc44b80ee4d6aa303e4d84d8782d29d8abf82243ccb25f,无人主机为表中原创物品。PCS 主机是身份基准；静音小队只提供悬浮无人机结构，不能把普通无人机当作主机成品。
拉特兰,无人主机,6,改制参考,01_拉特兰/04_无人主机/静音小队_无人机藏品.png,静音小队_无人机藏品,游戏原素材,172x148,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_a01.png,dd31bf50e0af643625c20ed345661922f78b4c5614a622f11ab5ced4feccb673,无人主机为表中原创物品。PCS 主机是身份基准；静音小队只提供悬浮无人机结构，不能把普通无人机当作主机成品。
拉特兰,喷漆罐,7,改制参考,01_拉特兰/05_喷漆罐/伊桑_超级喷漆套装_漆罐参考.png,伊桑_超级喷漆套装_漆罐参考,模组原图_含漆罐,511x511,https://prts.wiki/w/伊桑#超级喷漆套装,https://torappu.prts.wiki/assets/uniequip_img/uniequip_002_ethan.png,9c82dc01eca065f234c5ee411f4115aa0fa2ebede0b44710bd68afb13406f0b4,伊桑的超级喷漆套装原图，确实画有喷枪和多只漆罐；后续可截取单罐或重绘。它并非能天使专属物品。已排除只有通用徽章外观的蒂比信物图标。
